id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles
01001_4b50r5_00630;;630;;la Chèvre;01400;01001;L'Abergement-Clémenciat;;;847780.79;6560977.36;4.914282;46.132481;segment;;;L'ABERGEMENT-CLEMENCIAT;LA CHEVRE;inconnue;inconnue;0;
01001_g0ru02_00108;;108;;Clemencia;01400;01001;L'Abergement-Clémenciat;;;848494.85;6561148.68;4.923582;46.133867;parcelle;;;L'ABERGEMENT-CLEMENCIAT;CLEMENCIA;cadastre;cadastre;0;01001000ZL0263
01001_ngzlqw_00009;;9;;Imp des Epis;01400;01001;L'Abergement-Clémenciat;;;848670.66;6563239.01;4.926519;46.152646;;;;L'ABERGEMENT-CLEMENCIAT;IMP DES EPIS;arcep;arcep;0;
01001_ngzlqw_00023;;23;;Imp des Epis;01400;01001;L'Abergement-Clémenciat;;;848670.66;6563239.01;4.926519;46.152646;;;;L'ABERGEMENT-CLEMENCIAT;IMP DES EPIS;arcep;arcep;0;
01001_ngzlqw_00026;;26;;Imp des Epis;01400;01001;L'Abergement-Clémenciat;;;848670.66;6563239.01;4.926519;46.152646;;;;L'ABERGEMENT-CLEMENCIAT;IMP DES EPIS;arcep;arcep;0;
01001_ngzlqw_00028;;28;;Imp des Epis;01400;01001;L'Abergement-Clémenciat;;;848670.66;6563239.01;4.926519;46.152646;;;;L'ABERGEMENT-CLEMENCIAT;IMP DES EPIS;arcep;arcep;0;
01001_ngzlqw_00033;;33;;Imp des Epis;01400;01001;L'Abergement-Clémenciat;;;848670.66;6563239.01;4.926519;46.152646;;;;L'ABERGEMENT-CLEMENCIAT;IMP DES EPIS;arcep;arcep;0;
01001_ngzlqw_00035;;35;;Imp des Epis;01400;01001;L'Abergement-Clémenciat;;;848670.66;6563239.01;4.926519;46.152646;;;;L'ABERGEMENT-CLEMENCIAT;IMP DES EPIS;arcep;arcep;0;
01001_ngzlqw_00040;;40;;Imp des Epis;01400;01001;L'Abergement-Clémenciat;;;848670.66;6563239.01;4.926519;46.152646;;;;L'ABERGEMENT-CLEMENCIAT;IMP DES EPIS;arcep;arcep;0;
01001_ngzlqw_00048;;48;;Imp des Epis;01400;01001;L'Abergement-Clémenciat;;;848670.66;6563239.01;4.926519;46.152646;;;;L'ABERGEMENT-CLEMENCIAT;IMP DES EPIS;arcep;arcep;0;
